# PadDis v8.9,,,,,,,,,,,,,,,,
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz,gps_utc_sec,gps_uk_offset
61169,632451,0.99219,2.47266,7.19141,0.52526855,-0.16412354,0.00720215,-0.83496094,-11.03185,-15.45566,-114.15095,24,26,0.434,51451,1
61170,632466,1.18359,2.85938,4.81641,0.51867676,-0.1762085,0.00537109,-0.83660889,-11.55674,-16.81355,-114.6906,24,26,0.434,51451,1
61171,632474,1.375,2.93359,4.46094,0.51135254,-0.18908691,0.00469971,-0.83831787,-12.23035,-18.19264,-115.27029,24,26,0.434,51451,1
61172,632481,1.41406,3.24219,4.65625,0.50292969,-0.20343018,0.00506592,-0.84002686,-13.08223,-19.67476,-115.90343,24,26,0.434,51451,1
61173,632491,1.75781,2.85938,4.07812,0.49493408,-0.21624756,0.00616455,-0.84155273,-13.90764,-20.96978,-116.49262,24,26,0.434,51451,1
61174,632502,2.71484,1.36328,3.55078,0.48681641,-0.22875977,0.00762939,-0.84301758,-14.74306,-22.22513,-117.07851,24,26,0.434,51451,1
61175,632511,3.21484,0.51953,3.8125,0.47796631,-0.24121094,0.00897217,-0.84454346,-15.54431,-23.50705,-117.73161,24,26,0.434,51452,1
61176,632521,3.63672,-1.16406,4.92578,0.46875,-0.25323486,0.00939941,-0.84625244,-16.20469,-24.81901,-118.4463,24,26,0.434,51452,1
61177,632531,3.59766,-2.88672,6.83984,0.45996094,-0.26312256,0.00769043,-0.84802246,-16.49591,-26.05244,-119.20838,24,26,0.434,51452,1
61178,632546,2.75391,-1.73828,5.46094,0.45214844,-0.27056885,0.00299072,-0.84991455,-16.30959,-27.20735,-120.0026,24,26,0.434,51452,1
61179,632554,2.25781,-0.66797,5.23828,0.44403076,-0.27716064,-0.00372314,-0.85205078,-15.81919,-28.39993,-120.92227,24,26,0.434,51452,1
61180,632562,1.94922,0.94141,6.34766,0.43469238,-0.28375244,-0.01239014,-0.85461426,-15.05071,-29.72077,-122.06541,24,26,0.434,51452,1
61181,632571,1.875,1.78516,6.53125,0.42584229,-0.28979492,-0.0189209,-0.85693359,-14.46042,-30.84895,-123.14162,24,26,0.434,51452,1
61182,632582,2.98438,1.40234,4.07812,0.41497803,-0.29718018,-0.02453613,-0.85955811,-13.96629,-32.09129,-124.42413,24,26,0.434,51452,1
61183,632591,3.71094,0.44531,4.50391,0.40490723,-0.30383301,-0.02832031,-0.86193848,-13.62365,-33.14109,-125.6039,24,26,0.434,51452,1
61184,632601,4.51562,0.21484,5.65234,0.39245605,-0.31170654,-0.03198242,-0.86474609,-13.25815,-34.34691,-127.06518,24,26,0.434,51452,1
61185,632611,5.01562,-0.12891,6.00391,0.38024902,-0.3190918,-0.03479004,-0.86737061,-12.93371,-35.4525,-128.50537,24,26,0.434,51452,1
61186,632626,5.97266,0.21484,5.34766,0.36834717,-0.32580566,-0.03741455,-0.86993408,-12.56338,-36.47084,-129.94843,24,26,0.434,51452,1
61187,632631,5.97266,0.21484,5.34766,0.35552979,-0.33282471,-0.0401001,-0.87249756,-12.13388,-37.53677,-131.52275,24,26,0.434,51452,1
61188,632640,6.66797,0.71094,5.46094,0.3425293,-0.33935547,-0.0425415,-0.87506104,-11.6553,-38.53834,-133.15883,24,26,0.434,51452,1
61189,632651,6.92969,1.40234,5.65234,0.32922363,-0.34564209,-0.04504395,-0.87756348,-11.10074,-39.51668,-134.8739,24,26,0.434,51452,1
61190,632661,7.07812,1.25,6.11328,0.3168335,-0.35107422,-0.04730225,-0.87982178,-10.53061,-40.3733,-136.50981,24,26,0.434,51452,1
61191,632671,6.93359,1.44141,6.11328,0.30310059,-0.35668945,-0.04962158,-0.88232422,-9.85437,-41.25988,-138.36447,24,26,0.434,51452,1
61192,632681,6.73828,1.40234,6.57422,0.28973389,-0.3616333,-0.05157471,-0.88464355,-9.16709,-42.04649,-140.20163,24,26,0.434,51452,1
61193,632691,6.43359,1.63281,7.10938,0.27636719,-0.36608887,-0.05334473,-0.88702393,-8.43548,-42.75821,-142.08206,24,26,0.434,51452,1
61194,632703,5.66797,1.86328,7.76172,0.26312256,-0.36993408,-0.05480957,-0.88934326,-7.68416,-43.37939,-143.97691,24,26,0.434,51452,1
61195,632711,5.51172,2.16797,7.91797,0.24914551,-0.37347412,-0.05615234,-0.89178467,-6.85709,-43.95591,-146.01141,24,26,0.434,51452,1
61196,632721,5.66797,2.85938,7.95312,0.23498535,-0.37640381,-0.05743408,-0.89434814,-5.96267,-44.44512,-148.11926,24,26,0.434,51452,1
61197,632731,5.85938,3.05078,7.76172,0.2210083,-0.37872314,-0.05877686,-0.89678955,-5.01589,-44.85192,-150.2402,24,26,0.434,51452,1
